名字,性别,时间,评论,点赞数,回复数
榴莲味的大米饭,女,2020-06-05 11:43:32,女神,0,0
打盹的相信缘分的明,男,2020-06-05 11:43:22,随便菜谱之随便土豆系列[吃瓜],1,0
君心悦吾,女,2020-06-05 11:40:37,感动哭,0,0
世界上最帅最帅的凡程,保密,2020-06-05 11:37:49,子柒手受伤了，希望快点好[爱心][爱心][爱心],0,0
零月星卡,男,2020-06-05 11:35:23,这弹幕也太尴尬了吧[呆],0,0
威威还能跑,男,2020-06-05 11:30:22,为什么我看评论只是想知道，子柒姐姐的手是怎么弄的？,1,1
雪甄甄,女,2020-06-05 11:29:49,馋死我了,0,0
很喜欢你呀,保密,2020-06-05 11:26:41,萨沙快来,0,0
长岛六月,女,2020-06-05 11:14:13,我好爱她呜呜呜！！！作为美拍的老粉，我入坑是用葡萄皮染色做裙子的视频～然后一口气翻完了所有视频，我还看过她不是黑头发，染的黄头发的古早视频哈哈哈，当时我也不会想到她的影响力会有这么大，红到国外，成为文化传播的领头羊，反正就是娶妻当娶李子柒！！[打call][打call][鼓掌][鼓掌],0,0
夏末目,保密,2020-06-05 11:10:58,我爱死土豆了，怎么吃都吃不腻[鼓掌],0,0
本站第一炼金术士,男,2020-06-05 11:09:50,土豆，你死的好惨啊！,0,0
洋板货,保密,2020-06-05 11:08:54,你是不会做洋芋搅团，那才香嘞,1,0
云中漫速,保密,2020-06-05 11:03:46,超爱看田园小说，小子柒活出了我想要的样子。祝福你,0,0
吴幽暧幽,男,2020-06-05 11:02:42,一直都喜爱土豆！！,0,0
爱枢殿,女,2020-06-05 11:02:32,蛋包土豆,0,0
沧泪之雪,保密,2020-06-05 11:01:03,还有土豆饼（就是把土豆切丝煎成饼在撒上葱花）,0,0
神烦狗浪子,男,2020-06-05 10:56:01,爱你,0,0
大竹小竹落玉盘,保密,2020-06-05 10:48:36,竟然没有四川随处可见的炸土豆，可惜,0,0
燕姐日记,女,2020-06-05 10:46:06,美,0,0
崔荣宰的麦克风,女,2020-06-05 10:40:06,弹幕说黑土豆是紫薯的...小学毕业了吗[呆],1,1
榴莲味的大米饭,女,2020-06-05 11:43:32,女神,0,0
打盹的相信缘分的明,男,2020-06-05 11:43:22,随便菜谱之随便土豆系列[吃瓜],1,0
君心悦吾,女,2020-06-05 11:40:37,感动哭,0,0
世界上最帅最帅的凡程,保密,2020-06-05 11:37:49,子柒手受伤了，希望快点好[爱心][爱心][爱心],0,0
零月星卡,男,2020-06-05 11:35:23,这弹幕也太尴尬了吧[呆],0,0
威威还能跑,男,2020-06-05 11:30:22,为什么我看评论只是想知道，子柒姐姐的手是怎么弄的？,1,1
雪甄甄,女,2020-06-05 11:29:49,馋死我了,0,0
很喜欢你呀,保密,2020-06-05 11:26:41,萨沙快来,0,0
长岛六月,女,2020-06-05 11:14:13,我好爱她呜呜呜！！！作为美拍的老粉，我入坑是用葡萄皮染色做裙子的视频～然后一口气翻完了所有视频，我还看过她不是黑头发，染的黄头发的古早视频哈哈哈，当时我也不会想到她的影响力会有这么大，红到国外，成为文化传播的领头羊，反正就是娶妻当娶李子柒！！[打call][打call][鼓掌][鼓掌],0,0
夏末目,保密,2020-06-05 11:10:58,我爱死土豆了，怎么吃都吃不腻[鼓掌],0,0
本站第一炼金术士,男,2020-06-05 11:09:50,土豆，你死的好惨啊！,0,0
