驰野择川,感觉有点高开低走，女主人设后边有点崩
亲爱的莘御,唉其实要求真不高，节奏快好嗑cp加上剧集短基本就让人眼前一亮，可惜这么多国产剧咋不懂呢
排骨烧土豆,……现在解说都流行看个开头就开始自由发挥了吗？解说解说，都不了解怎么叫解说，不如标题改成《套路解说之传闻中的陈芊芊》
beckyyuchen,我實在是不好意思在這裡講這種話題，但我真的忍不住阿[喜极而泣]彈幕上好多人說“從生物學角度上來說決定生男還是生女的是男人”這句話真的不對阿，實際上男女都是有影響的，男性的Y染色體確實可以決定性別，但女性的體質也是Y染色體生存率的影響之一（酸鹼度之類的），所以其實生男還是生女，是看男性**（大家應該是可以理解的吧）的活性，和女性的體質。
呆迪在这儿呢,现在的电视剧是越来越讨好女性了，男女平等有望
胡思思AA,你跟他讲设定有问题，他跟你说不要带脑子，行我听你的，那我只想看甜剧，不喜欢看那些乱七八糟的剧情，又开始说你不能无脑看剧[doge]反正捧就对了
涟漪凤凰,"看这个剧就不要带脑子,带脑子看剧的是人才"
A同學,总之我觉得挺好看的
superdiu,有种太子妃升职记的感觉……
爱唱歌的易知寒,这个沙雕甜剧感觉后期要可能拉垮 现在剧情逐渐堵心
言和呵,金莲，该喝药了[热词系列_危]
唐禧玖,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈白芨和梓锐笑死我真的
星不耀,前面6集不错
贾修臣,编剧的bug成了剧情，那么这就是一个没有bug的电视剧。什么鬼神逻辑
陌上桑籽,"我看很多吐槽说这剧新颖反套路好看啥的……然后我去看了文字版的[捂脸]可能我期待太大了吧。
是古言很小众吗？？？这种设定我感觉我还见过挺多的，或许放成剧或许是有给人耳目一新的感觉？抛开题材设定，从目前我看到的文字版来说，女主性格额……就是古早言情风，并且一些剧情还有一些不太符合逻辑的地方[捂脸]个人想法，并且后面更新的一部分我是跳着看的，不够全面吧，希望后续剧情能真香吧。[捂脸][捂脸]目前我是有点失望的"
山井银泽,真就爆肝？
奈良梅子,你懂个屁，这是女尊，男的就该……
柯兰九箫,国产只适合活在解说里[笑]
大尼l哩,从片片几万粉丝关注到现在都两百万粉了[哦呼]
灵耀小狐,守宫砂的确不应该点，应该日抛爱妃，向武则天一样，不是想睡谁睡谁？点守宫砂简直封建残余
驰野择川,感觉有点高开低走，女主人设后边有点崩
亲爱的莘御,唉其实要求真不高，节奏快好嗑cp加上剧集短基本就让人眼前一亮，可惜这么多国产剧咋不懂呢
排骨烧土豆,……现在解说都流行看个开头就开始自由发挥了吗？解说解说，都不了解怎么叫解说，不如标题改成《套路解说之传闻中的陈芊芊》
beckyyuchen,我實在是不好意思在這裡講這種話題，但我真的忍不住阿[喜极而泣]彈幕上好多人說“從生物學角度上來說決定生男還是生女的是男人”這句話真的不對阿，實際上男女都是有影響的，男性的Y染色體確實可以決定性別，但女性的體質也是Y染色體生存率的影響之一（酸鹼度之類的），所以其實生男還是生女，是看男性**（大家應該是可以理解的吧）的活性，和女性的體質。
呆迪在这儿呢,现在的电视剧是越来越讨好女性了，男女平等有望
胡思思AA,你跟他讲设定有问题，他跟你说不要带脑子，行我听你的，那我只想看甜剧，不喜欢看那些乱七八糟的剧情，又开始说你不能无脑看剧[doge]反正捧就对了
涟漪凤凰,"看这个剧就不要带脑子,带脑子看剧的是人才"
A同學,总之我觉得挺好看的
superdiu,有种太子妃升职记的感觉……
